Created date / time : 31 July 2025 / 14:15:22
Bank 12; Branch 1234; Account 0000002-51 (Everyday2)
From date 20250701
To date 20250731
Avail Bal : 512.80 as of 20250731
Ledger Balance : 512.80 as of 20250731
Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount

2025/07/02,2025070201,EFTPOS,,"SUNNY SUPERMARKET WELLINGTON","Groceries",-65.40
2025/07/03,2025070301,EFTPOS,,"CITY CINEMA AUCKLAND","Movies",-24.00
2025/07/06,2025070601,D/C,,"D/C FROM PAYMATE KIM","",200.00
2025/07/10,2025071001,EFTPOS,,"GREENLINE CAFE HAMILTON","Lunch",-18.50
2025/07/12,2025071201,BILLPAY,,"WATERCO BILL","Water",-45.60
2025/07/15,2025071501,EFTPOS,,"PETSHOP BOUTIQUE","Pet Food",-35.30
2025/07/18,2025071801,D/C,,"D/C FROM ALICE WONG","Gift",100.00
2025/07/20,2025072001,EFTPOS,,"TRAIN TICKET WELLINGTON","EFTPOS",-30.00
2025/07/22,2025072201,EFTPOS,,"STATIONERY HOUSE","Pens",-15.00
2025/07/25,2025072501,EFTPOS,,"HARDWARE MART","Supplies",-42.00
2025/07/28,2025072801,EFTPOS,,"BAKERY DELIGHT","Bread",-9.50
2025/07/30,2025073001,D/C,,"D/C FROM SPARK NZ","Refund",35.00
