Created date / time : 31 July 2025 / 14:40:55
Bank 12; Branch 1234; Account 0000004-53 (Everyday4)
From date 20250701
To date 20250731
Avail Bal : 410.25 as of 20250731
Ledger Balance : 410.25 as of 20250731
Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount

2025/07/01,2025070101,EFTPOS,,"SUNNY SUPERMARKET","Groceries",-54.20
2025/07/02,2025070201,EFTPOS,,"CITY TRANSPORT AUCKLAND","Bus Ticket",-12.00
2025/07/03,2025070301,D/C,,"D/C FROM ALAN KIRK","Gift",75.00
2025/07/04,2025070401,EFTPOS,,"PIZZA PLANET","Dinner",-28.50
2025/07/06,2025070601,EFTPOS,,"FUEL STOP","Petrol",-45.00
2025/07/07,2025070701,D/C,,"D/C FROM LISA CHEN","Payment",120.00
2025/07/09,2025070901,EFTPOS,,"CAFE MORNING BREW","Breakfast",-16.50
2025/07/10,2025071001,BILLPAY,,"INTERNET PROVIDER","Monthly Bill",-65.00
2025/07/12,2025071201,EFTPOS,,"MARKET DELI","Snacks",-18.30
2025/07/14,2025071401,EFTPOS,,"BOOKSHOP EXPRESS","Books",-22.40
2025/07/15,2025071501,D/C,,"D/C FROM PAYROLL LTD","Salary",300.00
2025/07/18,2025071801,EFTPOS,,"HARDWARE MART","Tools",-50.00
2025/07/21,2025072101,EFTPOS,,"CITY PARKING WELLINGTON","Parking",-10.00
2025/07/24,2025072401,EFTPOS,,"FLOWER BOUTIQUE","Gift",-25.00
2025/07/26,2025072601,EFTPOS,,"SPORTS ARENA","Ticket",-35.00
2025/07/28,2025072801,EFTPOS,,"ICE CREAM PALACE","Dessert",-8.10
2025/07/30,2025073001,D/C,,"D/C FROM REFUND DEPT","Reimbursement",45.00
